comment/tweet,majority_sent
policy vaccine great awful good bad good ok meh sad terrible vaccine,negative
excellent happy policy vaccine vaccine excellent great meh sad good,neutral
terrible vaccine good happy happy meh ok,positive
terrible good vaccine bad,negative
covid fine fine good good bad,neutral
sad vaccine sad great,positive
happy fine covid excellent meh excellent fine sad excellent sad,negative
sad sad fine terrible bad policy happy meh vaccine fine awful fine,neutral
happy terrible bad excellent vaccine fine sad policy,positive
awful happy policy vaccine awful happy,negative
awful terrible great great sad policy good,neutral
fine meh fine meh,positive
great meh terrible bad good sad awful,negative
ok terrible covid terrible meh sad great happy good,neutral
fine excellent ok excellent bad policy policy terrible awful,positive
sad terrible ok happy excellent good fine policy bad vaccine policy happy terrible,negative
covid covid excellent ok covid good fine excellent,neutral
awful excellent policy excellent good covid meh happy fine covid,positive
vaccine great meh bad fine great happy happy,negative
terrible excellent ok bad bad happy excellent terrible sad excellent terrible,neutral
bad terrible bad excellent,positive
excellent fine ok vaccine excellent fine terrible fine meh great covid awful,negative
terrible meh bad terrible excellent great,neutral
vaccine sad covid ok excellent sad good meh,positive
ok policy vaccine good terrible happy awful good bad happy ok,negative
terrible excellent great good covid meh policy good sad,neutral
great covid terrible excellent bad vaccine happy,positive
great great ok terrible great great,negative
bad happy awful meh policy,neutral
vaccine happy meh good vaccine covid awful covid fine covid meh meh,positive
sad excellent policy fine bad vaccine great policy good meh,negative
ok meh fine good terrible excellent good policy meh meh fine terrible meh,neutral
good bad fine bad bad,positive
sad vaccine great excellent sad policy,negative
happy bad good terrible fine good covid fine covid covid awful covid covid,neutral
sad happy good awful excellent great vaccine terrible policy terrible ok vaccine policy,positive
policy excellent happy awful good ok great,negative
great meh great sad vaccine excellent vaccine terrible excellent happy policy terrible,neutral
great vaccine bad bad sad good happy meh ok sad fine terrible terrible,positive
vaccine sad policy happy ok happy vaccine happy vaccine,negative
bad vaccine excellent good vaccine covid good,neutral
happy happy excellent vaccine policy excellent awful meh ok,positive
sad policy ok sad policy terrible policy,negative
excellent bad bad vaccine covid vaccine happy awful ok sad fine excellent,neutral
sad happy great bad,positive
fine excellent terrible great covid policy terrible,negative
happy terrible terrible great bad,neutral
bad bad good ok terrible sad policy excellent covid,positive
ok great sad awful,negative
